,Date,AAPL,GOOG,TSLA
112,2020-09-08,113.949997,1533.51001,356.0
113,2020-09-09,117.260002,1557.530029,356.600006
114,2020-09-10,120.360001,1560.640015,386.209991
115,2020-09-11,114.57,1536.0,381.940002
116,2020-09-14,114.720001,1539.005005,380.950012
117,2020-09-15,118.330002,1536.0,436.55999800000006
118,2020-09-16,115.230003,1555.540039,439.869995
119,2020-09-17,109.720001,1496.0,415.600006
120,2020-09-18,110.400002,1498.01001,447.940002
121,2020-09-21,104.540001,1440.060059,453.130005
122,2020-09-22,112.68,1450.089966,429.600006
123,2020-09-23,111.620003,1458.780029,405.160004
124,2020-09-24,105.169998,1411.030029,363.799988
125,2020-09-25,108.43,1432.630005,393.470001
126,2020-09-28,115.010002,1474.209961,424.619995
127,2020-09-29,114.550003,1470.390015,416.0
128,2020-09-30,113.790001,1466.800049,421.320007
129,2020-10-01,117.639999,1484.27002,440.76001
130,2020-10-02,112.889999,1462.030029,421.39001500000006
131,2020-10-05,113.910004,1466.209961,423.350006
132,2020-10-06,115.699997,1475.579956,423.790009
133,2020-10-07,114.620003,1464.290039,419.869995
134,2020-10-08,116.25,1465.089966,438.440002
135,2020-10-09,115.279999,1494.699951,430.130005
136,2020-10-12,120.059998,1543.0,442.0
137,2020-10-13,125.269997,1583.72998,443.350006
138,2020-10-14,121.0,1578.589966,449.779999
139,2020-10-15,118.720001,1547.150024,450.30999800000006
140,2020-10-16,121.279999,1565.849976,454.440002
141,2020-10-19,119.959999,1580.459961,446.23999
142,2020-10-20,116.199997,1527.050049,431.75
143,2020-10-21,116.669998,1573.329956,422.700012
144,2020-10-22,117.449997,1593.050049,441.920013
145,2020-10-23,116.389999,1626.069946,421.839996
146,2020-10-26,114.010002,1625.01001,411.630005
147,2020-10-27,115.489998,1595.670044,423.76001
148,2020-10-28,115.050003,1559.73999,416.480011
149,2020-10-29,112.370003,1522.359985,409.959991
150,2020-10-30,111.059998,1672.109985,406.899994
151,2020-11-02,109.110001,1628.160034,394.0
152,2020-11-03,109.660004,1631.780029,409.730011
153,2020-11-04,114.139999,1710.280029,430.619995
154,2020-11-05,117.949997,1781.0,428.299988
155,2020-11-06,118.32,1753.949951,436.100006
156,2020-11-09,120.5,1790.9000239999998,439.5
